Postcode,SA4,Relevance
2130,Sydney - Inner West,1.0
2131,Sydney - Inner West,1.0
2132,Sydney - Inner West,1.0
2133,Sydney - Inner West,1.0
2134,Sydney - Inner West,1.0
2135,Sydney - Inner West,1.0
2136,Sydney - Inner South West,0.0072832
2136,Sydney - Inner West,0.9927168
2137,Sydney - Inner West,1.0
2138,Sydney - Inner West,1.0
2139,Sydney - Inner West,1.0
2140,Sydney - Inner West,1.0
2141,Sydney - Parramatta,1.0
2142,Sydney - Parramatta,1.0
2143,Sydney - Inner South West,0.3647352
2143,Sydney - Parramatta,0.6352648
2144,Sydney - Parramatta,1.0
2145,Sydney - Parramatta,1.0
2146,Sydney - Blacktown,0.3778978
2146,Sydney - Parramatta,0.6221022
2147,Sydney - Blacktown,1.0
2148,Sydney - Blacktown,0.9999618
2150,Sydney - Parramatta,1.0
2151,Sydney - Parramatta,1.0
2152,Sydney - Parramatta,1.0
2153,Sydney - Baulkham Hills and Hawkesbury,0.7608347
2153,Sydney - Blacktown,0.0167954
2153,Sydney - Parramatta,0.2223699
2154,Sydney - Baulkham Hills and Hawkesbury,1.0
2155,Sydney - Baulkham Hills and Hawkesbury,0.7997071
2155,Sydney - Blacktown,0.2002929
2156,Sydney - Baulkham Hills and Hawkesbury,1.0
2157,Sydney - Baulkham Hills and Hawkesbury,1.0
2158,Sydney - Baulkham Hills and Hawkesbury,1.0
2159,Sydney - Baulkham Hills and Hawkesbury,1.0
2160,Sydney - Parramatta,1.0
2161,Sydney - Parramatta,1.0
2162,Sydney - Parramatta,1.0
2163,Sydney - Inner South West,0.3611973
2163,Sydney - Parramatta,0.6388027
2164,Sydney - Parramatta,0.0728215
2164,Sydney - South West,0.9271785
2165,Sydney - Parramatta,0.1279803
2165,Sydney - South West,0.8720197
2166,Sydney - South West,1.0
2167,Sydney - Outer South West,1.0
2168,Sydney - South West,1.0
2170,Sydney - South West,0.9999383
2171,Sydney - South West,1.0
2172,Sydney - South West,0.9999997
2173,Sydney - Outer South West,0.0001226
2173,Sydney - South West,0.9998774
2174,Sydney - South West,1.0
2175,Sydney - South West,1.0
2176,Sydney - South West,1.0
2177,Sydney - South West,1.0
2178,Sydney - South West,1.0
2179,Sydney - South West,1.0
2190,Sydney - Inner South West,1.0
2191,Sydney - Inner South West,1.0
2192,Sydney - Inner South West,1.0
2193,Sydney - Inner South West,0.2894533
2193,Sydney - Inner West,0.7105467
2194,Sydney - Inner South West,1.0
2195,Sydney - Inner South West,1.0
2196,Sydney - Inner South West,1.0
2197,Sydney - Inner South West,0.9848768
2197,Sydney - Parramatta,0.0151232
2198,Sydney - Inner South West,1.0
2199,Sydney - Inner South West,1.0
2200,Sydney - Inner South West,1.0
2203,Sydney - City and Inner South,0.0062035
2203,Sydney - Inner West,0.9937965
2204,Sydney - City and Inner South,0.9985286
2204,Sydney - Inner South West,0.000377
2204,Sydney - Inner West,0.0010944
2205,Sydney - Inner South West,1.0
2206,Sydney - Inner South West,0.9994962
2206,Sydney - Inner West,0.0005038
2207,Sydney - Inner South West,1.0
2208,Sydney - Inner South West,1.0
2209,Sydney - Inner South West,1.0
2210,Sydney - Inner South West,1.0
2211,Sydney - Inner South West,1.0
2212,Sydney - Inner South West,1.0
2213,Sydney - Inner South West,1.0
2214,Sydney - Inner South West,1.0
2216,Sydney - Inner South West,1.0
2217,Sydney - Inner South West,1.0
2218,Sydney - Inner South West,1.0
2219,Sydney - Inner South West,1.0
2220,Sydney - Inner South West,1.0
2221,Sydney - Inner South West,1.0
2222,Sydney - Inner South West,1.0
2223,Sydney - Inner South West,1.0
2224,Sydney - Sutherland,1.0
2225,Sydney - Sutherland,1.0
2226,Sydney - Sutherland,1.0
2227,Sydney - Sutherland,1.0
2228,Sydney - Sutherland,1.0
2229,Sydney - Sutherland,1.0
2230,Sydney - Sutherland,1.0
2231,Sydney - Sutherland,1.0
2232,Sydney - Sutherland,1.0
2233,Sydney - Sutherland,1.0
2234,Sydney - Sutherland,1.0
2250,Central Coast,0.997451
2250,Hunter Valley exc Newcastle,0.0025186
2251,Central Coast,1.0
2256,Central Coast,1.0
2257,Central Coast,1.0
2258,Central Coast,1.0
2259,Central Coast,0.9395889
2259,Newcastle and Lake Macquarie,0.0604111
2260,Central Coast,1.0
2261,Central Coast,1.0
2262,Central Coast,1.0
2263,Central Coast,1.0
2264,Newcastle and Lake Macquarie,1.0
2265,Newcastle and Lake Macquarie,1.0
2267,Newcastle and Lake Macquarie,1.0
2278,Newcastle and Lake Macquarie,1.0
2280,Newcastle and Lake Macquarie,1.0
2281,Newcastle and Lake Macquarie,1.0
2282,Newcastle and Lake Macquarie,1.0
2283,Newcastle and Lake Macquarie,1.0
2284,Newcastle and Lake Macquarie,1.0
2285,Newcastle and Lake Macquarie,1.0
2286,Newcastle and Lake Macquarie,1.0
2287,Newcastle and Lake Macquarie,1.0
2289,Newcastle and Lake Macquarie,1.0
2290,Newcastle and Lake Macquarie,1.0
2291,Newcastle and Lake Macquarie,1.0
2292,Newcastle and Lake Macquarie,1.0
2293,Newcastle and Lake Macquarie,1.0
2294,Newcastle and Lake Macquarie,1.0
2295,Newcastle and Lake Macquarie,1.0
2296,Newcastle and Lake Macquarie,1.0
2297,Newcastle and Lake Macquarie,1.0
2298,Newcastle and Lake Macquarie,1.0
2299,Newcastle and Lake Macquarie,1.0
2300,Newcastle and Lake Macquarie,1.0
2302,Newcastle and Lake Macquarie,1.0
2303,Newcastle and Lake Macquarie,1.0
2304,Newcastle and Lake Macquarie,0.9999278
2305,Newcastle and Lake Macquarie,1.0
2306,Newcastle and Lake Macquarie,1.0
2307,Newcastle and Lake Macquarie,1.0
2308,Newcastle and Lake Macquarie,1.0
2311,Hunter Valley exc Newcastle,1.0
2312,Mid North Coast,1.0
2314,Hunter Valley exc Newcastle,1.0
2315,Hunter Valley exc Newcastle,1.0
2316,Hunter Valley exc Newcastle,1.0
2317,Hunter Valley exc Newcastle,1.0
2318,Hunter Valley exc Newcastle,0.9742904
2318,Newcastle and Lake Macquarie,0.0257096
2319,Hunter Valley exc Newcastle,1.0
2320,Hunter Valley exc Newcastle,1.0
2321,Hunter Valley exc Newcastle,1.0
2322,Hunter Valley exc Newcastle,0.5105486
2322,Newcastle and Lake Macquarie,0.4894514
2323,Hunter Valley exc Newcastle,0.9954094
2323,Newcastle and Lake Macquarie,0.0045906
2324,Hunter Valley exc Newcastle,0.9860559
2324,Mid North Coast,0.0139441
2325,Hunter Valley exc Newcastle,1.0
2326,Hunter Valley exc Newcastle,1.0
2327,Hunter Valley exc Newcastle,1.0
2328,Hunter Valley exc Newcastle,1.0
2329,Central West,0.0133523
2329,Hunter Valley exc Newcastle,0.9866477
2330,Hunter Valley exc Newcastle,0.9999999
2331,Hunter Valley exc Newcastle,1.0
2333,Hunter Valley exc Newcastle,1.0
2334,Hunter Valley exc Newcastle,1.0
2335,Hunter Valley exc Newcastle,1.0
2336,Hunter Valley exc Newcastle,1.0
2337,Hunter Valley exc Newcastle,0.9999999
2338,Hunter Valley exc Newcastle,0.9643306
2338,New England and North West,0.0356694
2339,New England and North West,1.0
2340,New England and North West,1.0
2341,New England and North West,1.0
2342,New England and North West,1.0
2343,New England and North West,1.0
2344,New England and North West,1.0
2345,New England and North West,1.0
2346,New England and North West,1.0
2347,New England and North West,1.0
2350,New England and North West,1.0
2351,New England and North West,1.0
2352,New England and North West,1.0
2353,New England and North West,1.0
2354,New England and North West,0.9999997
2355,New England and North West,1.0
2356,New England and North West,1.0
2357,Far West and Orana,1.0
2358,New England and North West,1.0
2359,New England and North West,1.0
2360,New England and North West,1.0
2361,New England and North West,1.0
2365,New England and North West,0.9999997
2369,New England and North West,1.0
2370,Coffs Harbour - Grafton,0.0019838
2370,New England and North West,0.9980162
2371,New England and North West,1.0
2372,New England and North West,0.9986111
2372,Darling Downs - Maranoa,0.0013889
2379,Far West and Orana,0.4035364
2379,New England and North West,0.5964636
2380,New England and North West,1.0
2381,Far West and Orana,0.0260014
2381,New England and North West,0.9739986
2382,New England and North West,1.0
2386,Far West and Orana,0.8132907
2386,New England and North West,0.1867093
2387,Far West and Orana,0.8594978
2387,New England and North West,0.1405022
2388,Far West and Orana,0.025439
2388,New England and North West,0.974561
2390,New England and North West,1.0
2395,Far West and Orana,1.0
2396,Far West and Orana,1.0
2397,New England and North West,1.0
2398,New England and North West,1.0
2399,New England and North West,1.0
2400,New England and North West,1.0
2401,New England and North West,1.0
2402,New England and North West,1.0
2403,New England and North West,1.0
2404,New England and North West,1.0
2405,New England and North West,1.0
2406,New England and North West,0.8412305
2406,Darling Downs - Maranoa,0.1587695
2408,New England and North West,1.0
2409,New England and North West,1.0
